X,Y,NAME,ST,POPULATION
-96.56423845,39.17834341,Manhattan,KS,56106
-94.69339027,39.01859553,Merriam,KS,11574
-97.34547783,38.03674815,Newton,KS,19498
-94.81875046,38.88435486,Olathe,KS,138786
-95.26568297,38.60456391,Ottawa,KS,12686
-94.67204246,38.98616842,Overland Park,KS,188657
-95.26640295,37.34273503,Parsons,KS,10269
-94.6981786,37.41447899,Pittsburg,KS,20290
-94.63610846,38.98737314,Prairie Village,KS,22553
-97.61258554,38.81509171,Salina,KS,48108
-94.71645729,39.02323176,Shawnee,KS,67018
-95.69658413,39.03826207,Topeka,KS,129051
-97.34226726,37.69134449,Wichita,KS,399072
-96.98508741,37.23788195,Winfield,KS,12061
-82.64487163,38.45927698,Ashland,KY,21833
-85.4607245,37.81982078,Bardstown,KY,13109
-84.2897,37.57909834,Berea,KY,14548
-118.3585394,33.93805646,Lennox,CA,23374
-121.2926564,38.87531485,Lincoln,CA,48413
-121.5421614,39.12413244,Linda,CA,19207
-119.0901493,36.20785691,Lindsay,CA,12366
-121.9804153,36.98602351,Live Oak,CA,17992
-121.7555418,37.6824132,Livermore,CA,89334
-120.7239495,37.38736697,Livingston,CA,13301
-121.2814824,38.12577735,Lodi,CA,64902
-117.2503671,34.04475498,Loma Linda,CA,25148
-118.3174494,33.79331433,Lomita,CA,21421
-120.4539905,34.64924236,Lompoc,CA,45173
-118.1886906,33.77100378,Long Beach,CA,481144
-118.059361,33.79718024,Los Alamitos,CA,12147
-122.1124078,37.38265339,Los Altos,CA,31508
-118.2705823,34.05278961,Los Angeles,CA,3986442
-120.8406698,37.06300912,Los Banos,CA,39316
-121.9742363,37.22269358,Los Gatos,CA,31746
-120.8242755,35.31110512,Los Osos,CA,14636
-118.2016542,33.92396365,Lynwood,CA,73002
-119.232729,35.67794966,McFarland,CA,14368
-124.0802095,40.93734128,McKinleyville,CA,16029
-120.0763422,36.9648873,Madera,CA,65212
-121.5817809,39.8042652,Magalia,CA,11569
-118.687282,34.03684821,Malibu,CA,13301
-118.3971376,33.88946258,Manhattan Beach,CA,36133
-121.2270861,37.79399745,Manteca,CA,75317
-121.7894977,36.68122654,Marina,CA,20941
-122.1335157,38.01277586,Martinez,CA,37901
-121.5914438,39.1485741,Marysville,CA,12519
-118.1876817,33.98850707,Maywood,CA,27469
-117.2849604,33.83327924,Mead Valley,CA,19591
-120.3777919,36.75530048,Mendota,CA,11639
-117.1563308,33.68261556,Menifee,CA,91164
-122.1820063,37.44945751,Menlo Park,CA,33653
-120.4772196,37.30557812,Merced,CA,82981
-122.4023233,37.59934691,Millbrae,CA,23025
-122.54246,37.90879737,Mill Valley,CA,14580
-121.8910822,37.43397896,Milpitas,CA,76057
-117.6551812,33.60926099,Mission Viejo,CA,98052
-120.9888886,37.66065547,Modesto,CA,211110
-117.9921156,34.16502689,Monrovia,CA,37994
-117.6980546,34.07144475,Montclair,CA,39129
-118.1107918,34.01544889,Montebello,CA,65102
-121.8965288,36.59487092,Monterey,CA,28520
-118.1325373,34.0497189,Monterey Park,CA,62871
-118.8769731,34.28550885,Moorpark,CA,36821
-122.122519,37.84387816,Moraga,CA,17592
-117.2508917,33.9184798,Moreno Valley,CA,205045
-121.6409924,37.13243067,Morgan Hill,CA,44859
-120.8460475,35.36635833,Morro Bay,CA,10649
-121.5452671,37.77401012,Mountain House,CA,15065
-122.0810985,37.40105523,Mountain View,CA,82179
-117.1909151,33.5719795,Murrieta,CA,109737
-117.3481981,34.15479333,Muscoy,CA,11161
-122.2806683,38.28934757,Napa,CA,80366
-117.0929536,32.67075702,National City,CA,62243
-122.031102,37.52039939,Newark,CA,46027
-121.020803,37.31559831,Newman,CA,10968
-117.9171796,33.62346844,Newport Beach,CA,90832
-120.4990122,35.032283,Nipomo,CA,17767
-117.5499684,33.92535103,Norco,CA,27325
-121.102928,38.93658276,North Auburn,CA,13814
-122.2034402,37.47537039,North Fair Oaks,CA,15303
